Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
1, 2873.000000, 3021.000000, -4294953200.000000, 67, 4208, 295
2, 2574.000000, 2723.000000, -4294960834.000000, 1070, 1192, 299
3, 8237.000000, 8387.000000, 6244.000000, 12489, 1129, 299
4, 2515.000000, 2663.000000, -4294961010.000000, 1086, 1171, 296
5, 7237.000000, 7383.000000, -4294951619.000000, 1067, 1135, 292
6, 2539.000000, 2687.000000, -4294960937.000000, 1067, 1174, 296
7, 8573.000000, 8721.000000, 6247.000000, 13162, 1131, 295
8, 8749.000000, 8897.000000, 6213.000000, 13555, 1135, 296
9, 8760.000000, 8907.000000, 6321.000000, 13508, 1154, 293
10, 2602.000000, 2750.000000, -4294960898.000000, 1142, 1168, 296
11, 8584.000000, 8732.000000, 6304.000000, 13133, 1134, 296
12, 8498.000000, 8646.000000, 6196.000000, 13051, 1125, 296
13, 8583.000000, 8733.000000, 6260.000000, 13175, 1134, 299
14, 8707.000000, 8854.000000, 6262.000000, 13408, 1128, 295
15, 8495.000000, 8641.000000, 6265.000000, 12989, 1132, 293
16, 7244.000000, 7392.000000, -4294951633.000000, 1082, 1128, 296
17, 8676.000000, 8826.000000, 6264.000000, 13391, 1151, 299
18, 2544.000000, 2690.000000, -4294960928.000000, 1076, 1178, 293
19, 8445.000000, 8595.000000, 6255.000000, 12898, 1131, 299
20, 8711.000000, 8860.000000, 6201.000000, 13489, 1134, 299
21, 8690.000000, 8838.000000, 6287.000000, 13375, 1141, 296
22, 7166.000000, 7314.000000, -4294951792.000000, 1079, 1125, 296
23, 7316.000000, 7464.000000, 15761.000000, 1155, 1142, 296
24, 8529.000000, 8677.000000, 6218.000000, 13102, 1131, 296
25, 7231.000000, 7379.000000, -4294951652.000000, 1073, 1127, 296
26, 7326.000000, 7474.000000, -4294951448.000000, 1089, 1142, 296
27, 8842.000000, 8989.000000, 6257.000000, 13669, 1121, 295
28, 8719.000000, 8869.000000, 6232.000000, 13477, 1135, 299
29, 8782.000000, 8930.000000, 6277.000000, 13558, 1135, 296
30, 7364.000000, 7513.000000, -4294951377.000000, 1079, 1135, 299
31, 8363.000000, 8513.000000, 6341.000000, 12734, 1174, 299
32, 8526.000000, 8674.000000, 6272.000000, 13105, 1162, 296
33, 8616.000000, 8764.000000, 6210.000000, 13285, 1131, 295
