Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
1, 2798.000000, 2946.000000, -4294953207.000000, 66, 4279, 296
2, 2587.000000, 2734.000000, -4294960746.000000, 1069, 1222, 294
3, 7143.000000, 7291.000000, -4294951818.000000, 1066, 1129, 297
4, 2524.000000, 2671.000000, -4294960981.000000, 1070, 1168, 293
5, 8481.000000, 8628.000000, 6248.000000, 12970, 1128, 294
6, 8227.000000, 8372.000000, 6282.000000, 12457, 1142, 290
7, 8320.000000, 8467.000000, 6250.000000, 12652, 1131, 294
8, 2517.000000, 2664.000000, -4294961010.000000, 1079, 1165, 293
9, 8257.000000, 8405.000000, -4294949611.000000, 1080, 1125, 296
10, 8820.000000, 8967.000000, 6291.000000, 13618, 1134, 294
11, 8496.000000, 8642.000000, 6297.000000, 12957, 1131, 293
12, 8359.000000, 8504.000000, 6252.000000, 12797, 1165, 290
13, 8528.000000, 8675.000000, 6283.000000, 13068, 1147, 293
14, 8374.000000, 8521.000000, 6284.000000, 12733, 1134, 294
15, 7217.000000, 7365.000000, -4294951627.000000, 1070, 1152, 296
16, 2513.000000, 2658.000000, -4294961007.000000, 1079, 1171, 290
17, 8130.000000, 8277.000000, -4294949859.000000, 1086, 1131, 293
18, 6901.000000, 7048.000000, -4294952260.000000, 1076, 1155, 294
19, 8564.000000, 8712.000000, 6300.000000, 13124, 1148, 297
20, 8329.000000, 8476.000000, 6172.000000, 12731, 1122, 294
21, 8372.000000, 8518.000000, 6326.000000, 12712, 1147, 293
22, 7835.000000, 7985.000000, -4294950472.000000, 1083, 1118, 300
23, 8801.000000, 8947.000000, 6268.000000, 13596, 1131, 293
24, 8382.000000, 8529.000000, 6230.000000, 12837, 1151, 294
25, 8463.000000, 8609.000000, 6246.000000, 13002, 1161, 293
26, 7432.000000, 7578.000000, -4294951196.000000, 1086, 1161, 293
27, 7303.000000, 7449.000000, -4294951490.000000, 1070, 1135, 293
28, 8549.000000, 8697.000000, 6293.000000, 13036, 1115, 296
29, 8544.000000, 8692.000000, 6300.000000, 13090, 1151, 296
30, 8441.000000, 8590.000000, 6319.000000, 12860, 1148, 297
31, 8500.000000, 8648.000000, 6253.000000, 12989, 1121, 296
32, 2502.000000, 2651.000000, -4294960972.000000, 1057, 1188, 297
33, 7170.000000, 7320.000000, -4294951740.000000, 1048, 1132, 300
34, 7158.000000, 7304.000000, -4294951780.000000, 1070, 1135, 293
35, 8571.000000, 8717.000000, 6295.000000, 13137, 1145, 293
36, 7229.000000, 7375.000000, -4294951492.000000, 1086, 1216, 293
37, 8509.000000, 8656.000000, 6270.000000, 12998, 1125, 294
38, 8726.000000, 8873.000000, 6269.000000, 13439, 1128, 294
39, 8592.000000, 8739.000000, 6294.000000, 13146, 1128, 294
40, 8403.000000, 8550.000000, 6231.000000, 12838, 1131, 294
41, 8567.000000, 8715.000000, 6302.000000, 13140, 1154, 296
42, 7407.000000, 7554.000000, -4294951281.000000, 1069, 1135, 294
43, 7439.000000, 7586.000000, -4294951182.000000, 1066, 1151, 294
44, 8571.000000, 8718.000000, 6233.000000, 13225, 1158, 294
45, 8604.000000, 8750.000000, 6324.000000, 13140, 1128, 293
46, 7907.000000, 8054.000000, 16942.000000, 1155, 1141, 293
