Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
1, 3030.000000, 3178.000000, -4294956363.000000, 1129, 6001, 296
2, 3240.000000, 3388.000000, -4294959787.000000, 66, 1094, 296
3, 28251.000000, 28917.000000, 56464.000000, 1217, 1178, 1331
4, 28251.000000, 28399.000000, -4294909684.000000, 69, 1178, 296
5, 8063.000000, 8211.000000, -4294949449.000000, 69, 1789, 296
6, 11683.000000, 11831.000000, -4294943129.000000, 66, 867, 296
7, 17747.000000, 18411.000000, 35224.000000, 1218, 947, 1328
8, 53304.000000, 53452.000000, -4294859806.000000, 66, 947, 296
9, 13747.000000, 13895.000000, -4294938933.000000, 69, 938, 296
10, 15984.000000, 16132.000000, -4294934456.000000, 70, 941, 295
11, 22035.000000, 22697.000000, -4294922697.000000, 1220, 1749, 1325
12, 22035.000000, 22184.000000, -4294921543.000000, 66, 1749, 299
13, 13220.000000, 13884.000000, -2000096170.000000, 2000123552, 941, 1328
14, 40532.000000, 41196.000000, -2000052518.000000, 2000134524, 941, 1328
15, 40532.000000, 41196.000000, -2000053736.000000, 2000135742, 941, 1328
16, 40532.000000, 40680.000000, -4294885356.000000, 66, 941, 296
17, 2622.000000, 2770.000000, 5057.000000, 1098, 911, 296
18, 10421.000000, 10568.000000, -4294944719.000000, 67, 1802, 295
19, 20624.000000, 20774.000000, -4294925156.000000, 66, 957, 299
20, 11085.000000, 11233.000000, -4294931263.000000, 69, 13932, 296
21, 15234.000000, 15901.000000, -2000122739.000000, 2000155027, 1819, 1334
22, 48372.000000, 49036.000000, -2000073534.000000, 2000172097, 1819, 1328
23, 48372.000000, 48521.000000, -4294868803.000000, 70, 1819, 299
24, 10885.000000, 11033.000000, -4294944658.000000, 66, 934, 296
25, 30129.000000, 30795.000000, 34063.000000, 28032, 1836, 1331
26, 57772.000000, 57920.000000, -4294849981.000000, 66, 1836, 296
27, 18047.000000, 18194.000000, -4294930323.000000, 66, 944, 293
28, 10949.000000, 11099.000000, -4294944532.000000, 66, 931, 299
29, 9972.000000, 10121.000000, -4294946433.000000, 66, 985, 299
30, 14088.000000, 14237.000000, -4294938249.000000, 66, 937, 299
31, 19668.000000, 19816.000000, -4294927068.000000, 70, 961, 295
32, 18230.000000, 18378.000000, -4294929981.000000, 63, 918, 296
33, 12566.000000, 12714.000000, -4294941307.000000, 69, 925, 296
34, 7140.000000, 7804.000000, -2000107706.000000, 2000122988, 1001, 1328
35, 38818.000000, 39482.000000, -2000057222.000000, 2000135860, 1001, 1328
36, 38818.000000, 39482.000000, -2000068194.000000, 2000146832, 1001, 1328
37, 38818.000000, 39482.000000, 72543.000000, 6095, 1001, 1328
38, 38818.000000, 39479.000000, 70101.000000, 8537, 1001, 1321
39, 38818.000000, 39482.000000, 68883.000000, 9755, 1001, 1327
40, 38818.000000, 39482.000000, 67666.000000, 10972, 1001, 1328
41, 38818.000000, 38964.000000, -4294888724.000000, 66, 1001, 292
42, 10413.000000, 10560.000000, -4294944750.000000, 66, 1785, 293
43, 28380.000000, 28528.000000, -4294909613.000000, 70, 992, 295
44, 21600.000000, 22264.000000, 33878.000000, 34181, 24858, 1328
45, 48582.000000, 49246.000000, 82964.000000, 39058, 24858, 1328
46, 48582.000000, 49246.000000, 79308.000000, 42714, 24858, 1328
47, 48582.000000, 49247.000000, 78090.000000, 43932, 24858, 1331
48, 48582.000000, 48728.000000, 54926.000000, 67096, 24858, 293
49, 10747.000000, 10895.000000, -4294944880.000000, 69, 991, 296
50, 17870.000000, 18017.000000, -4294930680.000000, 66, 941, 293
51, 10779.000000, 10925.000000, -2000109584.000000, 2000132023, 881, 293
52, 10779.000000, 10927.000000, -2000109650.000000, 2000132089, 881, 296
53, 11779.000000, 11928.000000, -4294941995.000000, 66, 1809, 299
54, 11432.000000, 11578.000000, -4294943557.000000, 66, 941, 293
55, 10745.000000, 10893.000000, -4294944934.000000, 70, 941, 295
56, 16603.000000, 16749.000000, -4294932444.000000, 67, 1712, 292
57, 20392.000000, 20542.000000, -4294924858.000000, 66, 1719, 299
58, 19495.000000, 19643.000000, -4294927440.000000, 69, 934, 296
