Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
1, 101182.000000, 101846.000000, -1294223582.000000, 1294428242, 2295, 1328
2, 47000.000000, 47664.000000, 87800.000000, 7315, 1114, 1328
3, 101358.000000, 102024.000000, -4000206354.000000, 4000410206, 1135, 1331
4, 25163.000000, 25827.000000, -1705424966.000000, 1705476350, 1058, 1328
5, 107380.000000, 108047.000000, 203638.000000, 12186, 1064, 1334
6, 103705.000000, 104372.000000, 203782.000000, 4874, 1245, 1334
7, 40341.000000, 41005.000000, 75660.000000, 6091, 1068, 1328
8, 72399.000000, 73063.000000, 77604.000000, 68263, 1068, 1328
9, 111770.000000, 112434.000000, 219841.000000, 4877, 1178, 1328
10, 63094.000000, 63758.000000, -1999936576.000000, 2000063892, 1128, 1328
11, 102258.000000, 102922.000000, -4000092408.000000, 4000298119, 1195, 1328
12, 32366.000000, 33030.000000, 60856.000000, 4874, 998, 1328
13, 93856.000000, 94520.000000, 181281.000000, 8691, 2260, 1328
14, 78594.000000, 79258.000000, 150977.000000, 7313, 1102, 1328
15, 35134.000000, 35801.000000, 66252.000000, 4874, 858, 1334
16, 106422.000000, 107086.000000, 208829.000000, 4874, 858, 1328
17, 34434.000000, 35098.000000, -1705292399.000000, 1705362286, 1018, 1328
18, 32229.000000, 32894.000000, -3705443990.000000, 3705509993, 1545, 1331
19, 41865.000000, 42529.000000, 70672.000000, 14628, 1569, 1328
20, 115846.000000, 116510.000000, 225475.000000, 7316, 1098, 1327
21, 52339.000000, 53001.000000, 94821.000000, 10972, 1115, 1325
22, 49045.000000, 49709.000000, 93079.000000, 6092, 1081, 1328
23, 101236.000000, 101902.000000, 195067.000000, 8533, 1127, 1331
24, 107610.000000, 108273.000000, -4294743040.000000, 7313, 16349, 1327
25, 43281.000000, 43945.000000, 75569.000000, 12189, 1195, 1328
26, 37656.000000, 38320.000000, 64283.000000, 12193, 1164, 1328
27, 106942.000000, 107606.000000, -1705345009.000000, 1705560485, 1592, 1328
28, 92702.000000, 93366.000000, 179147.000000, 7316, 1058, 1328
29, 46255.000000, 46919.000000, 82596.000000, 10969, 1054, 1327
30, 112940.000000, 113604.000000, 220820.000000, 6094, 1034, 1328
31, 103951.000000, 104615.000000, -1705272473.000000, 1705481410, 1034, 1328
32, 111232.000000, 111896.000000, 218626.000000, 4874, 1035, 1328
33, 24663.000000, 25327.000000, -4000097667.000000, 4000147966, 972, 1328
