Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
1, 3125.000000, 3274.000000, -4294961020.000000, 1155, 1181, 299
2, 2894.000000, 3042.000000, 5297.000000, 1623, 1131, 296
3, 7344.000000, 7492.000000, 14396.000000, 1117, 824, 295
4, 2636.000000, 2786.000000, 5051.000000, 1080, 858, 299
5, 7530.000000, 7678.000000, 14767.000000, 1151, 858, 296
6, 2688.000000, 2834.000000, 5101.000000, 1133, 858, 292
7, 7205.000000, 7353.000000, 14183.000000, 1079, 851, 296
8, 8533.000000, 8681.000000, 5152.000000, 12926, 1011, 295
9, 8332.000000, 8480.000000, 5880.000000, 12473, 1689, 296
10, 2622.000000, 2770.000000, 5131.000000, 1085, 971, 296
11, 2630.000000, 2778.000000, 5170.000000, 1111, 1021, 296
12, 7540.000000, 7687.000000, 14853.000000, 1079, 851, 293
13, 7194.000000, 7344.000000, 14133.000000, 1114, 858, 299
14, 8655.000000, 8804.000000, 5025.000000, 13162, 877, 299
15, 8716.000000, 8864.000000, 5026.000000, 13278, 871, 296
16, 7357.000000, 7504.000000, 14492.000000, 1083, 861, 295
17, 8362.000000, 8510.000000, 5193.000000, 12549, 1017, 295
18, 2645.000000, 2794.000000, 5099.000000, 1092, 901, 299
19, 7742.000000, 7890.000000, 15267.000000, 1079, 861, 296
20, 8329.000000, 8477.000000, 5147.000000, 12527, 1015, 295
21, 8422.000000, 8571.000000, 5083.000000, 12618, 857, 299
22, 8453.000000, 8601.000000, 5174.000000, 12750, 1017, 295
23, 8483.000000, 8630.000000, 5030.000000, 12810, 874, 295
24, 7221.000000, 7369.000000, 14152.000000, 1148, 858, 296
25, 8489.000000, 8637.000000, 5059.000000, 12778, 858, 296
26, 8573.000000, 8722.000000, 5074.000000, 12926, 854, 299
27, 7012.000000, 7160.000000, 13759.000000, 1117, 851, 296
28, 8765.000000, 8911.000000, 5027.000000, 13395, 891, 292
29, 9728.000000, 9874.000000, 19205.000000, 1120, 868, 292
30, 8261.000000, 8409.000000, 16317.000000, 1086, 881, 296
31, 9447.000000, 9595.000000, 18654.000000, 1092, 851, 296
32, 7468.000000, 7616.000000, 14723.000000, 1108, 894, 296
33, 7509.000000, 7655.000000, 14800.000000, 1080, 861, 292
34, 2641.000000, 2789.000000, 5047.000000, 1076, 841, 296
35, 9374.000000, 9522.000000, 18537.000000, 1080, 868, 296
36, 9161.000000, 9309.000000, 18063.000000, 1117, 858, 296
37, 8548.000000, 8696.000000, 4907.000000, 13074, 885, 296
38, 7126.000000, 7273.000000, 14181.000000, 1073, 1001, 293
39, 8580.000000, 8726.000000, 5155.000000, 13023, 1018, 293
40, 7916.000000, 8064.000000, 15624.000000, 1079, 871, 296
41, 9236.000000, 9386.000000, -4294948030.000000, 1079, 1872, 299
42, 9795.000000, 9944.000000, 19362.000000, 1079, 851, 299
43, 9031.000000, 9179.000000, 17846.000000, 1082, 865, 296
44, 8581.000000, 8729.000000, 5046.000000, 12963, 847, 296
45, 9070.000000, 9218.000000, 17919.000000, 1092, 871, 296
46, 7385.000000, 7533.000000, 14571.000000, 1057, 857, 296
47, 9127.000000, 9274.000000, 18054.000000, 1066, 865, 293
48, 8277.000000, 8424.000000, 5839.000000, 12391, 1676, 295
49, 7289.000000, 7437.000000, 14338.000000, 1092, 851, 296
50, 2628.000000, 2776.000000, 5199.000000, 1079, 1021, 296
51, 9571.000000, 9721.000000, 19010.000000, 1110, 977, 299
52, 9269.000000, 9417.000000, 18458.000000, 1095, 1014, 295
53, 9398.000000, 9546.000000, 18560.000000, 1098, 861, 296
54, 2641.000000, 2789.000000, 5202.000000, 1085, 1005, 296
55, 9386.000000, 9536.000000, 18545.000000, 1095, 867, 299
56, 9249.000000, 9395.000000, 18304.000000, 1080, 885, 292
57, 7256.000000, 7405.000000, 14278.000000, 1092, 858, 299
58, 7282.000000, 7430.000000, 14356.000000, 1082, 874, 296
59, 9095.000000, 9243.000000, 18113.000000, 1095, 1018, 296
60, 2610.000000, 2758.000000, 5151.000000, 1105, 1035, 296
61, 2628.000000, 2777.000000, -4294961230.000000, 1083, 1893, 299
62, 2607.000000, 2755.000000, 5169.000000, 1063, 1018, 296
63, 8721.000000, 8869.000000, 5044.000000, 13259, 861, 296
64, 2601.000000, 2749.000000, 5070.000000, 1076, 944, 296
65, 9792.000000, 9940.000000, 19347.000000, 1085, 848, 296
66, 9613.000000, 9763.000000, 18990.000000, 1095, 858, 299
67, 2496.000000, 2645.000000, -4294962068.000000, 1102, 1338, 299
68, 9508.000000, 9656.000000, 18768.000000, 1095, 847, 296
69, 2546.000000, 2694.000000, -4294962104.000000, 1082, 1181, 296
70, 9939.000000, 10085.000000, 19641.000000, 1111, 874, 293
71, 2504.000000, 2654.000000, -4294962153.000000, 1095, 1229, 299
72, 9435.000000, 9584.000000, 18653.000000, 1098, 881, 299
73, 9217.000000, 9363.000000, 18200.000000, 1089, 855, 292
74, 9225.000000, 9373.000000, 18216.000000, 1089, 854, 296
75, 7491.000000, 7639.000000, 14752.000000, 1095, 865, 296
76, 7244.000000, 7392.000000, 14237.000000, 1126, 874, 296
77, 9980.000000, 10127.000000, 19736.000000, 1076, 851, 293
78, 9697.000000, 9847.000000, 19186.000000, 1073, 864, 299
79, 7279.000000, 7429.000000, 14354.000000, 1063, 858, 299
80, 9380.000000, 9527.000000, 18546.000000, 1079, 864, 293
81, 2624.000000, 2773.000000, 5101.000000, 1098, 951, 299
82, 7006.000000, 7155.000000, 13915.000000, 1088, 991, 299
83, 9201.000000, 9349.000000, 18274.000000, 1142, 1014, 296
84, 9388.000000, 9536.000000, 18581.000000, 1076, 881, 296
85, 9058.000000, 9207.000000, 18036.000000, 1091, 1011, 299
86, 2605.000000, 2753.000000, 5168.000000, 1073, 1031, 296
87, 2665.000000, 2814.000000, 5228.000000, 1110, 1008, 299
88, 8847.000000, 8996.000000, 4980.000000, 13615, 901, 299
89, 8661.000000, 8809.000000, 5072.000000, 13112, 861, 296
90, 8802.000000, 8950.000000, 5052.000000, 13410, 858, 296
